Mass,Response,z,MW,Envelop
533.5706:609.939,2959.0,7:8,4276.624,1
533.696:610.0819,5501.0,7:8,4277.624,1
533.8211:610.2254,4716.0,7:8,4278.629,1
533.9467:610.3687,3442.0,7:8,4279.632,1
640.4624:732.0997,3090.0,7:8,5131.757,2
640.5872:732.2432,4941.0,7:8,5132.756,2
640.7126:732.3869,5817.0,7:8,5133.759,2
640.8381:732.53,4216.0,7:8,5134.763,2
609.0809:783.3925:914.1255,6096.0,6:7:9,5490.793,3
609.1928:783.5353:914.2926:1097.3528,14932.0,5:6:7:9,5491.8,3
609.3046:783.6786:914.4596:1097.5535,17900.0,5:6:7:9,5492.807,3
609.416:783.8217:914.6266:1097.7538,14888.0,5:6:7:9,5493.809,3
609.5275:783.9648:914.7937:1097.9539,10350.0,5:6:7:9,5494.813,3
609.6388:784.1085:914.9604,4511.0,6:7:9,5495.814,3
582.7752:647.6403:728.721:832.9669:971.9637,12059.0,6:7:8:9:10,5837.828,4
582.8758:647.7516:728.8462:833.1105:972.1303:1166.7581,25568.0,5:6:7:8:9:10,5838.83,4
582.9759:647.8628:728.9712:833.2535:972.2974:1166.9585,31797.0,5:6:7:8:9:10,5839.83,4
583.0759:647.9742:729.0966:833.3967:972.4643:1167.159,29589.0,5:6:7:8:9:10,5840.833,4
583.1762:648.0853:729.2214:833.5399:972.6312:1167.3589,22258.0,5:6:7:8:9:10,5841.833,4
583.2761:648.1961:729.3464:833.6825:972.7975,13603.0,6:7:8:9:10,5842.83,4
583.376:648.3074:729.4713:833.8253:972.9643,8360.0,6:7:8:9:10,5843.832,4
648.4183:729.5961,2795.0,8:9,5844.83,4
648.4848:729.6707,2521.0,8:9,5845.424,4
656.5259:738.7181:844.3929,5346.0,7:8:9,5917.803,5
656.6374:738.8432:844.5357,6741.0,7:8:9,5918.804,5
656.7485:738.9686:844.6789,6898.0,7:8:9,5919.807,5
656.8599:739.0936:844.8221,5513.0,7:8:9,5920.807,5
658.3005:740.7137:846.6733,6565.0,7:8:9,5933.77,6
592.4695:658.4118:740.8389:846.8168:988.1209,16510.0,6:7:8:9:10,5934.772,6
592.5701:658.5232:740.964:846.9597:988.2877:1186.1472,21711.0,5:6:7:8:9:10,5935.774,6
592.6698:658.6342:741.0891:847.1028:988.4547:1186.3472,20292.0,5:6:7:8:9:10,5936.773,6
592.7704:658.7456:741.2143:847.246:988.6216,14921.0,6:7:8:9:10,5937.776,6
658.8568:741.3398:847.389:988.7883,8520.0,6:7:8:9,5938.776,6
658.9682:741.4646,3588.0,8:9,5939.779,6
602.8741:669.9714,3360.0,9:10,6038.808,7
602.9741:670.0831:753.9688,5595.0,8:9:10,6039.813,7
603.0745:670.1952:754.0949,6222.0,8:9:10,6040.822,7
670.3059:754.2203,3520.0,8:9,6041.818,7
670.4173:754.3454,2991.0,8:9,6042.821,7
604.6747:671.9726:756.0947,4472.0,8:9:10,6056.819,8
604.7751:672.0841:756.22:864.395,7311.0,7:8:9:10,6057.822,8
604.8753:672.1953:756.345:864.538,7504.0,7:8:9:10,6058.823,8
604.9755:672.3068:756.4704:864.681,6487.0,7:8:9:10,6059.828,8
605.0762:672.4184:756.5959,4267.0,8:9:10,6060.831,8
605.1761:672.5295,4251.0,9:10,6061.834,8
605.2759:672.6409,3998.0,9:10,6062.832,8
606.6775:674.1978:758.598,4115.0,8:9:10,6076.846,9
606.7778:674.3092:758.7233:867.2561:1011.9668,12171.0,6:7:8:9:10,6077.848,9
606.8777:674.4204:758.8483:867.399:1012.1338:1214.7624,21267.0,5:6:7:8:9:10,6078.849,9
606.9778:674.5313:758.9733:867.5419:1012.3006:1214.9626,26017.0,5:6:7:8:9:10,6079.847,9
607.0776:674.6423:759.0983:867.6846:1012.467:1215.1624,26500.0,5:6:7:8:9:10,6080.846,9
607.1779:674.7538:759.2235:867.8277:1012.634:1215.3622,21297.0,5:6:7:8:9:10,6081.85,9
607.2779:674.8653:759.3485:867.9705:1012.8006:1215.5623,15833.0,5:6:7:8:9:10,6082.853,9
607.3781:674.976:759.4737:868.1136:1012.9672,9414.0,6:7:8:9:10,6083.849,9
675.0869:759.5989,2812.0,8:9,6084.847,9
610.9804:678.9793,2769.0,9:10,6119.879,10
611.0798:679.0892:764.1009:873.402:1019.137,17128.0,6:7:8:9:10,6120.868,10
611.1798:679.2004:764.2259:873.5446:1019.3036:1223.3664,34228.0,5:6:7:8:9:10,6121.869,10
611.2798:679.3114:764.3508:873.6876:1019.4707:1223.5667,44600.0,5:6:7:8:9:10,6122.868,10
555.7086:611.3798:679.4226:764.4761:873.8307:1019.6372:1223.7666,45135.0,5:6:7:8:9:10:11,6123.869,10
555.7994:611.48:679.5341:764.6012:873.974:1019.8043:1223.9667,34609.0,5:6:7:8:9:10:11,6124.872,10
555.8904:611.5801:679.6453:764.7264:874.1168:1019.9712:1224.1671,23250.0,5:6:7:8:9:10:11,6125.873,10
611.6803:679.7565:764.8517:874.2596:1020.1369,11794.0,6:7:8:9:10,6126.874,10
611.7803:679.8674:764.9766,4849.0,8:9:10,6127.872,10
556.3441:612.0788,2740.0,10:11,6130.865,11
681.0894:1226.7721,2184.0,5:9,6138.87,12
558.3434:614.2784:682.6433:768.0991:877.9714:1024.4683,17892.0,6:7:8:9:10:11,6152.857,13
558.4344:614.3786:682.7543:768.2244:878.1144:1024.6349:1229.7634,41370.0,5:6:7:8:9:10:11,6153.859,13
558.5256:614.479:682.866:768.3497:878.2577:1024.8023:1229.9646,57206.0,5:6:7:8:9:10:11,6154.859,13
558.6166:614.579:682.9773:768.4751:878.401:1024.9694:1230.1653,59670.0,5:6:7:8:9:10:11,6155.861,13
558.7079:614.6797:683.0893:768.6009:878.5449:1025.137:1230.3668,62039.0,5:6:7:8:9:10:11,6156.869,13
558.7995:614.7805:683.2012:768.7268:878.6889:1025.3052:1230.568,65478.0,5:6:7:8:9:10:11,6157.876,13
558.8909:614.8812:683.3129:768.8526:878.8322:1025.4728:1230.7695,63514.0,5:6:7:8:9:10:11,6158.881,13
558.982:614.9815:683.4245:768.978:878.9758:1025.6398:1230.9704,53783.0,5:6:7:8:9:10:11,6159.886,13
559.0722:615.0818:683.5358:769.1035:879.119:1025.8073:1231.1708,38624.0,5:6:7:8:9:10:11,6160.887,13
615.1822:683.6473:769.2286:879.2622:1025.9751:1231.3715,24093.0,5:6:7:8:9:10,6161.891,13
615.2823:683.7588:769.3537:879.4052:1026.1413,12792.0,6:7:8:9:10,6162.894,13
615.3822:683.8699:769.4791:879.5484,6182.0,7:8:9:10,6163.895,13
559.8906:615.9809:684.5344:770.2267:880.4032:1027.3044:1232.9675,26656.0,5:6:7:8:9:10:11,6169.875,14
559.9814:616.08:684.6451:770.3512:880.5452:1027.4708:1233.167,108908.0,5:6:7:8:9:10:11,6170.871,14
560.072:616.18:770.4762:880.688:1027.6376:1233.3672,151865.0,5:6:7:8:10:11,6171.873,14
513.3985:560.1624:616.2794:770.6003:880.8298:1027.8031:1233.5656,503799.0,5:6:7:8:10:11:12,6172.867,14
513.4817:560.2534:616.3794:770.7254:880.9729:1027.9697:1233.7657,967245.0,5:6:7:8:10:11:12,6173.867,14
616.4367:770.8172,2332.0,8:10,6174.596,14
513.565:560.3444:616.4796:770.8506:881.1159:1028.1368:1233.966,1198947.0,5:6:7:8:10:11:12,6174.869,14
513.6484:560.4355:616.5798:770.9758:881.2589:1028.3036:1234.1663,1165582.0,5:6:7:8:10:11:12,6175.871,14
513.7317:560.5265:616.6798:771.101:881.4021:1028.4705:1234.3666,925060.0,5:6:7:8:10:11:12,6176.871,14
513.8153:560.6175:616.7801:771.2263:881.5451:1028.6375:1234.567,625751.0,5:6:7:8:10:11:12,6177.874,14
771.2993:881.6332,2368.0,7:8,6178.483,14
513.8988:560.7085:616.8802:771.3514:881.6882:1028.8044:1234.7675,359374.0,5:6:7:8:10:11:12,6178.875,14
560.7996:616.9803:1028.9713:1234.968,115684.0,5:6:10:11,6179.876,14
881.9337:1029.0951,2559.0,6:7,6180.587,14
560.8907:617.0802:881.9744:1029.1382:1235.1684,77665.0,5:6:7:10:11,6180.875,14
1029.3051:1235.371,11219.0,5:6,6181.874,14
882.2611:1029.4717:1235.573,9514.0,5:6:7,6182.878,14
882.4048:1029.6394:1235.7738,4518.0,5:6:7,6183.884,14
617.7799:772.4762:882.9724,6084.0,7:8:10,6187.872,15
617.8789:772.5997:883.1148:1030.4693:1236.764,30822.0,5:6:7:8:10,6188.862,15
617.9788:686.7548:772.7247:883.2577:1030.6357:1236.9643,78181.0,5:6:7:8:9:10,6189.861,15
561.7983:618.0787:686.866:772.8496:883.4005:1030.8024:1237.1646,108127.0,5:6:7:8:9:10:11,6190.859,15
561.8892:618.1789:686.9772:772.9747:883.5436:1030.9693:1237.3648,109106.0,5:6:7:8:9:10:11,6191.86,15
561.9803:618.2792:687.0885:773.1:883.6867:1031.1363:1237.5651,92600.0,5:6:7:8:9:10:11,6192.862,15
562.0711:618.3793:687.1998:773.2252:883.8297:1031.3031:1237.7657,64262.0,5:6:7:8:9:10:11,6193.864,15
562.1622:618.4792:687.3106:773.3501:883.9726:1031.4696:1237.9664,45638.0,5:6:7:8:9:10:11,6194.861,15
562.2529:618.579:687.4217:773.4747:884.1148:1031.6356:1238.1651,32267.0,5:6:7:8:9:10:11,6195.861,15
618.6789:687.5326:773.5993:884.2573:1031.8017:1238.3654,23065.0,5:6:7:8:9:10,6196.859,15
618.7786:687.6434:773.7241:884.4002:1031.9682:1238.5651,17654.0,5:6:7:8:9:10,6197.856,15
618.8786:687.7552:773.8492:884.5429:1032.1346:1238.7657,12214.0,5:6:7:8:9:10,6198.859,15
618.9787:687.866:773.9748:884.6859,6654.0,7:8:9:10,6199.859,15
619.0789:687.9773:774.1,3689.0,8:9:10,6200.862,15
620.2761:1241.5727,3010.0,5:10,6212.9,16
620.3775:689.4196:775.7228:1241.7728,6202.0,5:8:9:10,6213.9,16
620.478:689.5311:775.8486:1034.8019:1241.9742,7770.0,5:6:8:9:10,6214.907,16
620.5787:689.6436:775.9745:1034.9704:1242.1766,8012.0,5:6:8:9:10,6215.919,16
620.6795:689.7556:776.1007:1242.378,5810.0,5:8:9:10,6216.926,16
689.8679:1242.5788,3043.0,5:9,6217.93,16
1037.4776:1245.1762,22708.0,5:6,6230.917,17
1037.6445:1245.3763,44883.0,5:6,6231.918,17
1037.8115:1245.5765,58160.0,5:6,6232.919,17
1037.9785:1245.7768,56392.0,5:6,6233.92,17
1038.1453:1245.9771,43213.0,5:6,6234.922,17
1038.3117:1246.1775,28944.0,5:6,6235.924,17
1038.4786:1246.3777,17954.0,5:6,6236.925,17
617.5973:617.6065,2508.0,12,7423.255,18
685.9149:685.922,4447.0,12,8243.066,19
686.0278:686.0367,4161.0,12,8244.421,20
771.7893:771.7952,3060.0,12,9273.559,21
771.8842:771.8915,2220.0,12,9274.785,22
